Timestamp,Station,Freeway,Direction,Lane Type,Total Flow (veh/5min),Lane1 Flow (veh/5min),Lane2 Flow (veh/5min),Lane3 Flow (veh/5min),Lane4 Flow (veh/5min),Lane5 Flow (veh/5min),Lane6 Flow (veh/5min),Latitude,Longitude,Location,Abs_PM
2025-01-07 06:00:00,768916,210,E,FF,,,,,,,,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12
2025-01-07 06:00:00,769849,210,E,FF,124,41,52,31,,,,34.211728,-118.228265,OCEAN VIEW,18.18
2025-01-07 06:00:00,770170,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49
2025-01-07 06:00:00,773131,210,E,FF,,,,,,,,34.15154,-118.146708,FAIR OAKS OFF,25.48
2025-01-07 06:00:00,775729,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 CON,24.49
2025-01-07 06:00:00,776724,210,E,FF,149,78,71,,,,,34.156489,-118.158295,WINONA WAY,24.442
2025-01-07 06:05:00,768916,210,E,FF,,,,,,,,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12
2025-01-07 06:05:00,769849,210,E,FF,145,39,73,33,,,,34.211728,-118.228265,OCEAN VIEW,18.18
2025-01-07 06:05:00,770170,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49
2025-01-07 06:05:00,773131,210,E,FF,,,,,,,,34.15154,-118.146708,FAIR OAKS OFF,25.48
2025-01-07 06:05:00,775729,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 CON,24.49
2025-01-07 06:05:00,776724,210,E,FF,176,107,69,,,,,34.156489,-118.158295,WINONA WAY,24.442
2025-01-07 06:10:00,768916,210,E,FF,,,,,,,,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12
2025-01-07 06:10:00,769849,210,E,FF,133,42,52,39,,,,34.211728,-118.228265,OCEAN VIEW,18.18
2025-01-07 06:10:00,770170,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49
2025-01-07 06:10:00,773131,210,E,FF,,,,,,,,34.15154,-118.146708,FAIR OAKS OFF,25.48
2025-01-07 06:10:00,775729,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 CON,24.49
2025-01-07 06:10:00,776724,210,E,FF,108,71,37,,,,,34.156489,-118.158295,WINONA WAY,24.442
2025-01-07 06:15:00,768916,210,E,FF,,,,,,,,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12
2025-01-07 06:15:00,769849,210,E,FF,177,62,72,43,,,,34.211728,-118.228265,OCEAN VIEW,18.18
2025-01-07 06:15:00,770170,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49
2025-01-07 06:15:00,773131,210,E,FF,,,,,,,,34.15154,-118.146708,FAIR OAKS OFF,25.48
2025-01-07 06:15:00,775729,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 CON,24.49
2025-01-07 06:15:00,776724,210,E,FF,213,91,122,,,,,34.156489,-118.158295,WINONA WAY,24.442
2025-01-07 06:20:00,768916,210,E,FF,,,,,,,,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12
2025-01-07 06:20:00,769849,210,E,FF,214,70,92,52,,,,34.211728,-118.228265,OCEAN VIEW,18.18
2025-01-07 06:20:00,770170,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49
2025-01-07 06:20:00,773131,210,E,FF,,,,,,,,34.15154,-118.146708,FAIR OAKS OFF,25.48
2025-01-07 06:20:00,775729,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 CON,24.49
2025-01-07 06:20:00,776724,210,E,FF,193,99,94,,,,,34.156489,-118.158295,WINONA WAY,24.442
2025-01-07 06:25:00,768916,210,E,FF,,,,,,,,34.15099,-118.152369,NB 710 EXT TO EB 210,25.12
2025-01-07 06:25:00,769849,210,E,FF,174,59,72,43,,,,34.211728,-118.228265,OCEAN VIEW,18.18
2025-01-07 06:25:00,770170,210,E,FF,,,,,,,,34.155812,-118.158089,EB 210 TO WB 134 #1,24.49
